Cases,symptom,outputs,expected fault,OSI Layer,Concept,severity
10,Intermittent ping loss and session drops. Pinging 192.168.1.10 results in mixed success (!) and timeout (.) messages. Switch MAC address table is rapidly reassigning ports (flapping).,"Router# show arp\nProtocol  Address          Age (min)  Hardware Addr   Type   Interface\nInternet  192.168.1.10            -   0030.f2a8.a601  ARPA   GigabitEthernet0/0/0\n\n%IP-4-DUPADDR: Duplicate address 192.168.1.10 on GigabitEthernet0/0/0, sourced by 00e0.8f3c.6901",Duplicate IP address conflict. IP 192.168.1.10 is statically assigned to two different active endpoints in the same broadcast domain.,Layer2/Layer 3,ARP / IPv4 Addressing,High
11,CDP throws native VLAN mismatch syslog errors continuously. Potential untagged traffic leakage between broadcast domains.,"%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on FastEthernet0/1 (20), with Switch0 FastEthernet0/1 (10).\n\nSwitch#show interface trunk\nPort        Mode         Encapsulation  Status        Native vlan\nFa0/1       on           802.1q         trunking      20\n\nPort        Vlans allowed on trunk\nFa0/1       1-1005\n\nPort        Vlans allowed and active in management domain\nFa0/1       1,20\n\nPort        Vlans in spanning tree forwarding state and not pruned\nFa0/1       20","Switch port native VLAN mismatch. Switch A is expecting untagged traffic on VLAN 10, while Switch B is using VLAN 20.",Layer 2,VLANs / Trunking / 802.1Q,Medium
12,User lost network connection after replacing their computer. Switch port link status is physically down (red).,"Switch(config-if)#switchport port-security mac-address sticky\nSwitch(config-if)#\n%LINK-5-CHANGED: Interface FastEthernet0/1, changed state to administratively down\n\n%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/1, changed state to down\n\nSwitch(config-if)#^Z\nSwitch#\n%SYS-5-CONFIG_I: Configured from console by console\n\nSwitch#show port-security interface fa0/1\nPort Security              : Enabled\nPort Status                : Secure-shutdown\nViolation Mode             : Shutdown\nAging Time                 : 0 mins\nAging Type                 : Absolute\nSecureStatic Address Aging : Disabled\nMaximum MAC Addresses      : 1\nTotal MAC Addresses        : 1\nConfigured MAC Addresses   : 0\nSticky MAC Addresses       : 1\nLast Source Address:Vlan   : 0000.0CC9.CAAC:1\nSecurity Violation Count   : 1","Port security maximum violation. An unauthorized MAC address attempted to transmit on a locked-down port, forcing it into an err-disabled shutdown state.",Layer 2,Port Security / Access Control,High
13,End hosts in VLAN 10 cannot reach their default gateway or other subnets. Ping to gateway 192.168.10.1 times out.,Router# show running-config interface g0/0/0.10\nBuilding configuration...\n\nCurrent configuration : 124 bytes\n!\ninterface GigabitEthernet0/0/0.10\n encapsulation dot1Q 20\n ip address 192.168.10.1 255.255.255.0\nend,Router-on-a-Stick sub-interface VLAN tag mismatch. Sub-interface G0/0/0.10 is incorrectly configured with 802.1Q encapsulation for VLAN 20 instead of matching the access VLAN 10.,Layer 2 / Layer 3,Inter-VLAN Routing / 802.1Q,High
14,All sub-interfaces remain in down/down status; complete loss of inter-VLAN routing across the network.,Router# show ip interface brief\nInterface                  IP-Address      OK? Method Status                Protocol\nGigabitEthernet0/0/0       unassigned      YES unset  administratively down down\nGigabitEthernet0/0/0.10    192.168.10.1    YES manual administratively down down\nGigabitEthernet0/0/0.20    192.168.20.1    YES manual administratively down down\nGigabitEthernet0/0/0.30    192.168.30.1    YES manual administratively down down\nGigabitEthernet0/0/1       unassigned      YES unset  administratively down down\nGigabitEthernet0/0/2       unassigned      YES unset  administratively down down\nVlan1                      unassigned      YES unset  administratively down down,"Router-on-a-Stick physical interface admin down. The parent interface (G0/0/0) was never brought online with the 'no shutdown' command, forcing all dependent sub-interfaces down.",Layer 1 / Layer 2,Interface Administration,High
15,The Port-Channel bundle fails to negotiate; ports operate independently and may cause spanning tree loops.,Switch#show etherchannel summary\nFlags:  D - down        P - in port-channel\n        I - stand-alone s - suspended\n        H - Hot-standby (LACP only)\n        R - Layer3      S - Layer2\n        U - in use      f - failed to allocate aggregator\n        u - unsuitable for bundling\n        w - waiting to be aggregated\n        d - default port\n\nNumber of channel-groups in use: 1\nNumber of aggregators:           1\n\nGroup  Port-channel  Protocol    Ports\n------+-------------+-----------+----------------------------------------------\n1      Po1(SD)           LACP   Fa0/1(I) Fa0/2(I),EtherChannel Protocol / Mode Mismatch. Switch A is attempting LACP (active) while Switch B is attempting PAgP (desirable).,Layer 2,EtherChannel / LACP / PAgP,Medium
16,"Port-Channel fails consistency checks, placing member ports in a suspended or unbundled state.","%EC-5-CANNOT_BUNDLE2: Fa0/1 is not compatible with Fa0/2 and will be suspended\n\nSwitch# show running-config interface fa0/1\nBuilding configuration...\n\nCurrent configuration : 110 bytes\n!\ninterface FastEthernet0/1\n switchport trunk allowed vlan 10,20\n switchport mode trunk\n channel-group 1 mode active\nend\n\nSwitch# show running-config interface fa0/2\nBuilding configuration...\n\nCurrent configuration : 110 bytes\n!\ninterface FastEthernet0/2\n switchport trunk allowed vlan 10,30\n switchport mode trunk\n channel-group 1 mode active\nend","EtherChannel Mismatched Allowed Trunk VLANs. Member ports of the same port-channel have conflicting allowed VLAN lists (VLAN 10,20 vs VLAN 10,30), causing the bundle to fail consistency checks.",Layer 2,EtherChannel / Trunking,High
17,"PC0 fails to obtain a DHCP lease and remains with IPv4 address 0.0.0.0, subnet mask 0.0.0.0 and default gateway 0.0.0.0.","PC0 ipconfig shows IPv4 Address: 0.0.0.0, Subnet Mask: 0.0.0.0, Default Gateway: 0.0.0.0; Router1 client VLAN interface is missing ip helper-address 192.168.20.10.",DHCP relay agent is missing on Router1 G0/0.10; ip helper-address 192.168.20.10 is not configured.,Layer 3,DHCP Relay,High
18,"STP is operating on a redundant three-switch topology, but an inter-switch trunk has PortFast enabled, creating a risk of temporary Layer-2 loops, broadcast storms, and MAC flapping during topology changes.",show interfaces trunk confirms the affected port is a trunk; show spanning-tree interface fastethernet 0/1 detail confirms PortFast is enabled; show spanning-tree vlan 1 shows the STP state of the redundant links.,"PortFast was incorrectly enabled on Switch0 Fa0/1, which is an inter-switch trunk connected to Switch1 Fa0/1.",Layer 2,STP / PortFast / Trunking,High
19,PC0 cannot reach PC1 at 192.168.20.10 and ping fails with Request timed out or Destination host unreachable.,Router0 show ip route shows route to 192.168.20.0/24 via incorrect next hop 10.1.1.5; Router1 show ip interface brief shows actual adjacent IP 10.1.1.2.,Static route on Router0 uses incorrect next-hop IP 10.1.1.5 instead of the actual adjacent Router1 IP 10.1.1.2.,Layer 3,Static Routing,High
