case_id,status,reviewed_at,reviewer_reason,ai_root_cause,corrected_root_cause,corrected_fix_steps,correction_summary
10,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Duplicate IP address conflict involving 192.168.1.10.,,,
11,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Trunk native VLAN mismatch between connected switch ports.,,,
12,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Port security violation caused interface FastEthernet0/1 to enter a secure-shutdown state after a new computer with a different MAC address was connected.,,,
13,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Router-on-a-Stick sub-interface GigabitEthernet0/0/0.10 is configured with encapsulation dot1Q 20 instead of VLAN 10.,,,
14,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"The physical parent interface GigabitEthernet0/0/0 is administratively down, which forces all dependent sub-interfaces (GigabitEthernet0/0/0.10, GigabitEthernet0/0/0.20, and GigabitEthernet0/0/0.30) to remain down.",,,
15,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"EtherChannel bundle negotiation failure using LACP protocol, leaving member ports in stand-alone state.",,,
16,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,EtherChannel member ports FastEthernet0/1 and FastEthernet0/2 have mismatched allowed VLAN configurations causing consistency check failure.,,,
17,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,The DHCP relay agent configuration is missing on the router sub-interface GigabitEthernet0/0.10.,,,
18,Edited,2026-09-03T15:11:01,"AI missed that the interface is an inter-switch trunk, which is the key error since PortFast should only be enabled on edge ports.","PortFast is incorrectly enabled on an inter-switch trunk port (FastEthernet0/1), which can cause temporary Layer 2 loops and topology instability.","STP PortFast is incorrectly enabled on interface FastEthernet0/1, which is a trunk link connected to Switch1. This bypasses STP checks and creates a risk of Layer 2 loops.","Enter interface configuration mode for FastEthernet0/1., Disable PortFast with 'no spanning-tree portfast'., Verify that spanning tree loop prevention is active on the trunk interface.","The AI should have identified that the interface is an inter-switch trunk, making PortFast inappropriate and dangerous."
19,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Static route uses an invalid next-hop address 10.1.1.5 that is not on the directly connected subnet.,,,
20,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,Router1 is missing a return route to the 192.168.10.0/24 network.,,,
21,Edited,2026-09-03T15:11:01,AI did not mention the exact cause: both static routes have the same administrative distance of 1.,"Floating static route is not properly configured as a backup because both static routes to 192.168.20.0/24 share the same administrative distance of 1, causing load balancing instead of failover.","Backup static route was configured with administrative distance 1 instead of a higher value (e.g., 10), so it is not functioning as a floating backup route but is instead active concurrently (equal-cost routing).","Remove the incorrect backup static route: 'no ip route 192.168.20.0 255.255.255.0 10.2.2.2'., Configure the floating static route with a higher AD: 'ip route 192.168.20.0 255.255.255.0 10.2.2.2 10'., Verify routing table shows only the primary route under normal conditions.",AI failed to specify the administrative distance mismatch that caused the backup route to be treated as equal to the primary.
22,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,OSPF neighbor adjacency failure due to a mismatched Hello timer interval configuration.,,,
23,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,OSPF area ID mismatch between Router0 (Area 0) and Router1 (Area 1) on GigabitEthernet0/0/0.,,,
24,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"OSPF is configured as a passive interface on the transit link GigabitEthernet0/0/0, preventing Hello packets from being sent and stopping neighbor adjacency from establishing.",,,
25,Edited,2026-09-03T15:11:01,"AI missed the crucial detail that standard ACLs applied inbound on egress interfaces filter based on source, which blocks all WAN ingress.","A standard IP access list (ACL 10) is applied inbound on the WAN interface GigabitEthernet0/0/0, leading to improper traffic filtering.",Standard ACL 10 is applied in the wrong direction (inbound 'in' instead of outbound 'out') on the GigabitEthernet0/0/0 egress interface.,"Enter interface configuration mode for GigabitEthernet0/0/0., Remove the inbound ACL application: 'no ip access-group 10 in'., Apply the access list in the correct direction or location if traffic filtering is required.",The AI did not state that the standard ACL was applied inbound on the egress interface.
26,Accepted,2026-09-03T15:11:01,AI diagnosis is accurate and aligns with the expected lab fault.,"The inbound ACL on the WAN interface permits ICMP traffic but lacks a rule to allow established TCP return traffic, causing web traffic failures.",,,
